sub001_og_fw_lap6.txt
Scaling.Coef.Hip	1.300000	Scaling.Coef.Knee	1.000000	Start.Time	0.000000	End.Time	21.490000
ave.x	ave.y	ave.z	ave.angle.1	ave.angle.2	ave.angle.3	ave.angle.4	target.x	target.y	target.z	target.angle.1	target.angle.2	target.angle.3	target.angle.4
-0.037	-0.834	-0.026	0.056	0.031	0.000	-0.195	-0.035	-0.834	0.000
-0.038	-0.834	-0.025	0.054	0.030	0.000	-0.194	-0.037	-0.834	0.000
-0.040	-0.834	-0.024	0.050	0.029	0.000	-0.192	-0.038	-0.834	0.000
-0.042	-0.834	-0.023	0.048	0.028	0.000	-0.192	-0.040	-0.834	0.000
-0.045	-0.834	-0.022	0.044	0.026	0.000	-0.191	-0.042	-0.834	0.000
-0.046	-0.834	-0.021	0.043	0.026	0.000	-0.190	-0.045	-0.834	0.000
-0.048	-0.834	-0.020	0.040	0.024	0.000	-0.190	-0.046	-0.834	0.000
-0.049	-0.834	-0.020	0.038	0.024	0.000	-0.189	-0.048	-0.834	0.000
-0.052	-0.834	-0.019	0.035	0.023	0.000	-0.188	-0.049	-0.834	0.000
-0.054	-0.834	-0.018	0.032	0.022	0.000	-0.188	-0.052	-0.834	0.000
-0.054	-0.834	-0.018	0.031	0.021	0.000	-0.187	-0.054	-0.834	0.000
-0.057	-0.833	-0.017	0.027	0.020	0.000	-0.187	-0.054	-0.834	0.000
-0.058	-0.833	-0.016	0.026	0.020	0.000	-0.186	-0.057	-0.833	0.000
-0.061	-0.833	-0.015	0.022	0.018	0.000	-0.186	-0.058	-0.833	0.000
-0.062	-0.833	-0.015	0.021	0.018	0.000	-0.185	-0.061	-0.833	0.000
-0.064	-0.833	-0.014	0.019	0.017	0.000	-0.185	-0.062	-0.833	0.000
-0.065	-0.833	-0.014	0.017	0.017	0.000	-0.185	-0.064	-0.833	0.000
-0.067	-0.833	-0.014	0.015	0.016	0.000	-0.185	-0.065	-0.833	0.000
-0.069	-0.833	-0.013	0.012	0.016	0.000	-0.185	-0.067	-0.833	0.000
-0.070	-0.833	-0.013	0.011	0.016	0.000	-0.185	-0.069	-0.833	0.000
-0.072	-0.832	-0.013	0.008	0.015	0.000	-0.185	-0.070	-0.833	0.000
-0.073	-0.832	-0.012	0.007	0.015	0.000	-0.185	-0.072	-0.832	0.000
-0.075	-0.832	-0.012	0.004	0.015	0.000	-0.185	-0.073	-0.832	0.000
-0.077	-0.832	-0.012	0.002	0.015	0.000	-0.185	-0.075	-0.832	0.000
-0.078	-0.832	-0.012	0.001	0.015	0.000	-0.185	-0.077	-0.832	0.000
-0.079	-0.832	-0.012	-0.001	0.014	0.000	-0.185	-0.078	-0.832	0.000
-0.081	-0.832	-0.012	-0.002	0.014	0.000	-0.185	-0.079	-0.832	0.000
-0.084	-0.831	-0.012	-0.006	0.015	0.000	-0.185	-0.081	-0.832	0.000
-0.085	-0.831	-0.012	-0.007	0.015	0.000	-0.185	-0.084	-0.831	0.000
-0.086	-0.831	-0.013	-0.008	0.015	0.000	-0.185	-0.085	-0.831	0.000
-0.087	-0.831	-0.013	-0.010	0.015	0.000	-0.185	-0.086	-0.831	0.000
-0.089	-0.831	-0.013	-0.012	0.016	0.000	-0.185	-0.087	-0.831	0.000
-0.091	-0.830	-0.014	-0.014	0.016	0.000	-0.185	-0.089	-0.831	0.000
